,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",779,23.0,93.89,15,1.9
1,Águas Claras,"-15,835755","-48,023704",257,7.6,150.61,5,1.9
2,Recanto das Emas,"-15,91697","-48,101851",63,1.9,47.57,2,3.2
3,Samambaia,"-15,874647","-48,101735",210,6.2,85.73,5,2.4
4,Taguatinga,"-15,829303","-48,055925",194,5.7,93.19,3,1.5
5,Vicente Pires,"-15,80135","-48,029207",55,1.6,74.88,0,0.0
6,CENTRAL,"-15,787416","-47,904364",728,21.5,185.38,3,0.4
7,Plano Piloto,"-15,79558","-47,880991",416,12.3,180.63,1,0.2
8,Sudoeste/Octogonal,"-15,791981","-47,929973",80,2.4,144.78,1,1.3
9,Cruzeiro,"-15,783461","-47,935849",35,1.0,113.44,0,0.0
10,Lago Norte,"-15,716136","-47,872314",61,1.8,164.30,0,0.0
11,Lago Sul,"-15,866769","-47,863069",132,3.9,435.36,1,0.8
12,Varjão do Torto,"-15,709046","-47,878307",4,0.1,45.31,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",324,9.6,85.08,11,3.4
14,Candangolândia,"-15,850394","-47,948315",14,0.4,85.69,0,0.0
15,Parkway,"-15,912218","-47,958777",30,0.9,130.11,0,0.0
16,Guará,"-15,819059","-47,97966",149,4.4,106.00,5,3.4
17,Núcleo Bandeirante,"-15,872164","-47,968502",24,0.7,99.92,1,4.2
18,Riacho Fundo I,"-15,882885","-48,016893",52,1.5,118.68,3,5.8
19,Riacho Fundo II,"-15,924313","-48,037374",23,0.7,24.57,1,4.3
20,SCIA (Estrutural),"-15,783705","-47,987222",29,0.9,78.87,1,3.4
21,SIA,"-15,802812","-47,960215",3,0.1,114.46,0,0.0
22,NORTE,"-15,661909","-47,813598",212,6.3,59.72,3,1.4
23,Fercal,"-15,598803","-47,86915",4,0.1,42.23,0,0.0
24,Planaltina,"-15,713838","-47,520359",112,3.3,57.12,3,2.7
25,Sobradinho I,"-15,653501","-47,802874",87,2.6,122.25,0,0.0
26,Sobradinho II,"-15,621837","-47,803434",9,0.3,11.50,0,0.0
27,SUL,"-16,025131","-48,051063",207,6.1,75.84,7,3.4
28,Gama,"-15,99793","-48,145463",127,3.7,88.39,4,3.1
29,Santa Maria,"-16,024697","-47,990179",80,2.4,61.89,3,3.8
30,OESTE,"-15,76191","-48,139419",282,8.3,55.53,11,3.9
31,Brazlândia,"-15,631225","-48,131325",39,1.1,60.91,0,0.0
32,Ceilândia,"-15,817297","-48,170523",243,7.2,54.75,11,4.5
33,LESTE,"-15,835614","-47,715819",207,6.1,66.02,4,1.9
34,Itapoã,"-15,744747","-47,764271",15,0.4,23.17,1,6.7
35,Paranoá,"-15,931541","-47,525609",42,1.2,56.23,0,0.0
36,São Sebastião,"-15,934012","-47,756858",94,2.8,81.04,1,1.1
37,Jardim Botânico,"-15,855691","-47,809974",56,1.7,96.32,2,3.6
38,População Privada de Liberdade,"-15,90473","-47,80732",493,14.5,3671.98,0,0.0
39,RA em Investigação,nan,nan,160,4.7,0,0.0,
